latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation_probability (%),precipitation (mm),rain (mm),showers (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),visibility (m),wind_speed_10m (km/h),wind_speed_80m (km/h),wind_speed_120m (km/h),wind_speed_180m (km/h),wind_direction_10m (°),wind_direction_80m (°),wind_direction_120m (°),wind_direction_180m (°),wind_gusts_10m (km/h),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C),soil_temperature_0cm (°C),soil_temperature_6cm (°C),soil_temperature_18cm (°C),soil_temperature_54cm (°C),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³),soil_moisture_27_to_81cm (m³/m³),is_day (),sunshine_duration (s)
2024-11-14T00:00,3.0,96,0,0.00,0.00,0.00,0.00,0.00,2,1026.1,1021.3,70,3,27,46,3920.00,6.7,19.6,24.9,29.0,216,224,231,238,14.8,3.5,4.0,4.4,2.1,3.6,5.9,8.2,0.289,0.289,0.291,0.295,0.304,0,0.00
2024-11-14T01:00,2.6,96,0,0.00,0.00,0.00,0.00,0.00,2,1025.0,1020.2,46,12,37,2,3840.00,8.2,22.4,29.1,34.1,203,213,222,231,17.3,2.9,3.6,4.5,1.9,3.4,5.8,8.2,0.289,0.289,0.291,0.295,0.304,0,0.00
2024-11-14T02:00,2.9,93,3,0.00,0.00,0.00,0.00,0.00,3,1024.6,1019.8,100,67,100,17,5420.00,8.9,19.6,29.5,37.7,207,212,219,226,19.4,2.4,2.9,3.8,2.9,3.4,5.6,8.2,0.289,0.289,0.291,0.295,0.304,0,0.00
2024-11-14T03:00,3.0,95,8,0.00,0.00,0.00,0.00,0.00,61,1023.8,1019.0,100,100,75,0,2560.00,9.7,18.9,28.4,36.3,195,201,210,219,20.5,2.3,2.1,2.7,3.2,3.6,5.5,8.1,0.288,0.288,0.289,0.295,0.304,0,0.00
2024-11-14T04:00,3.2,95,8,0.00,0.00,0.00,0.00,0.00,61,1023.0,1018.2,100,100,100,0,2080.00,9.8,19.7,25.8,33.7,197,201,207,217,23.0,2.5,2.3,2.6,3.4,3.8,5.5,8.1,0.288,0.288,0.290,0.295,0.304,0,0.00
2024-11-14T05:00,3.6,95,3,0.20,0.20,0.00,0.00,0.00,61,1022.4,1017.6,100,100,100,1,3040.00,7.4,15.6,23.5,31.6,209,214,220,229,21.2,3.0,2.7,3.1,3.7,4.0,5.4,8.1,0.292,0.291,0.290,0.294,0.304,0,0.00
2024-11-14T06:00,4.0,96,3,0.00,0.00,0.00,0.00,0.00,3,1021.6,1016.8,100,100,85,79,1740.00,7.4,16.6,24.7,32.3,223,228,236,248,16.2,3.5,3.4,4.2,3.9,4.2,5.4,8.1,0.291,0.291,0.291,0.294,0.304,0,0.00
2024-11-14T07:00,4.7,98,0,0.00,0.00,0.00,0.00,0.00,3,1021.9,1017.1,100,100,17,0,920.00,6.6,17.3,23.3,29.0,225,234,243,253,16.2,4.4,4.7,5.1,4.5,4.4,5.4,8.1,0.290,0.291,0.291,0.294,0.304,1,0.00
2024-11-14T08:00,5.4,98,0,0.00,0.00,0.00,0.00,0.00,3,1021.7,1017.0,100,100,0,0,440.00,7.6,19.4,24.6,29.3,225,235,243,254,16.6,5.2,5.3,5.6,5.4,4.8,5.4,8.1,0.290,0.290,0.291,0.294,0.304,1,0.00
2024-11-14T09:00,6.1,98,0,0.00,0.00,0.00,0.00,0.00,3,1021.8,1017.1,100,100,0,0,380.00,6.8,15.6,21.3,25.9,238,244,251,261,16.2,5.7,5.8,5.7,6.2,5.3,5.4,8.1,0.290,0.290,0.291,0.294,0.304,1,0.00
2024-11-14T10:00,7.2,95,0,0.00,0.00,0.00,0.00,0.00,3,1021.4,1016.7,100,100,0,0,2760.00,8.8,19.8,25.0,33.4,261,270,276,286,18.4,6.7,6.4,6.3,7.1,5.8,5.5,8.1,0.289,0.290,0.291,0.295,0.304,1,0.00
2024-11-14T11:00,8.1,89,0,0.00,0.00,0.00,0.00,0.00,3,1020.8,1016.1,100,100,0,71,11200.00,11.2,22.8,26.5,34.1,272,275,277,283,24.5,7.5,7.1,6.6,8.2,6.5,5.6,8.1,0.289,0.290,0.291,0.295,0.304,1,0.00
2024-11-14T12:00,8.6,81,0,0.00,0.00,0.00,0.00,0.00,3,1020.6,1015.9,100,100,0,0,26680.00,12.1,23.8,27.2,30.0,297,299,299,300,27.4,7.8,7.3,6.8,8.6,7.2,5.8,8.1,0.289,0.289,0.291,0.295,0.304,1,0.00
2024-11-14T13:00,8.4,84,0,0.00,0.00,0.00,0.00,0.00,3,1021.6,1016.9,100,100,0,1,20360.00,12.4,24.4,27.7,30.5,300,301,302,303,28.4,7.6,7.2,6.6,8.2,7.4,6.0,8.1,0.288,0.289,0.291,0.295,0.304,1,0.00
2024-11-14T14:00,8.4,80,0,0.00,0.00,0.00,0.00,0.00,3,1021.3,1016.6,100,100,0,100,29840.00,12.6,25.5,29.1,32.4,283,286,288,289,28.1,7.8,7.3,6.8,8.0,7.4,6.2,8.1,0.288,0.289,0.291,0.295,0.304,1,0.00
2024-11-14T15:00,8.1,80,0,0.00,0.00,0.00,0.00,0.00,3,1021.0,1016.3,100,100,0,100,30560.00,11.7,29.4,33.5,37.0,281,293,294,295,32.0,7.6,7.2,6.7,7.5,7.3,6.3,8.1,0.288,0.288,0.291,0.295,0.304,1,0.00
2024-11-14T16:00,7.8,82,0,0.00,0.00,0.00,0.00,0.00,3,1021.4,1016.7,100,100,0,100,26000.00,9.8,24.3,29.0,33.5,278,291,293,297,26.6,7.5,7.1,6.7,7.2,7.1,6.4,8.1,0.287,0.288,0.290,0.295,0.304,0,0.00
2024-11-14T17:00,7.7,85,0,0.00,0.00,0.00,0.00,0.00,3,1021.7,1017.0,100,100,0,100,20880.00,9.6,19.9,24.3,29.3,283,290,294,298,20.9,7.4,7.0,6.6,7.0,7.0,6.5,8.1,0.287,0.288,0.290,0.295,0.304,0,0.00
2024-11-14T18:00,7.6,87,0,0.00,0.00,0.00,0.00,0.00,3,1021.9,1017.2,100,96,0,100,18180.00,8.9,19.3,24.6,30.6,284,291,295,302,22.0,7.3,7.0,6.8,6.9,6.9,6.6,8.1,0.287,0.288,0.290,0.295,0.304,0,0.00
2024-11-14T19:00,7.4,89,0,0.00,0.00,0.00,0.00,0.00,3,1022.6,1017.9,100,62,0,100,14300.00,8.4,19.5,26.7,32.3,290,295,302,309,20.2,7.2,7.0,6.9,6.7,6.8,6.7,8.1,0.287,0.288,0.290,0.294,0.304,0,0.00
2024-11-14T20:00,7.2,91,0,0.00,0.00,0.00,0.00,0.00,3,1023.0,1018.3,93,87,0,58,10700.00,7.9,18.6,25.2,30.3,294,302,307,313,18.4,6.8,6.6,6.4,6.4,6.7,6.7,8.1,0.288,0.288,0.290,0.294,0.304,0,0.00
2024-11-14T21:00,6.8,92,0,0.00,0.00,0.00,0.00,0.00,3,1023.4,1018.7,95,92,0,39,8340.00,7.2,18.2,24.0,28.3,288,297,303,310,16.2,6.4,6.3,6.3,6.1,6.5,6.7,8.1,0.288,0.288,0.290,0.294,0.304,0,0.00
2024-11-14T22:00,6.6,93,0,0.00,0.00,0.00,0.00,0.00,3,1023.4,1018.7,96,94,0,29,6720.00,7.2,17.6,23.0,27.4,288,298,302,309,16.2,6.1,6.1,6.0,6.1,6.4,6.8,8.1,0.288,0.288,0.290,0.294,0.304,0,0.00
2024-11-14T23:00,6.4,93,0,0.00,0.00,0.00,0.00,0.00,3,1023.5,1018.8,93,92,0,12,6280.00,6.9,18.3,23.2,26.0,276,290,298,307,15.5,5.9,6.0,6.0,5.8,6.3,6.8,8.1,0.288,0.288,0.290,0.294,0.304,0,0.00
